Username,Date,Time,Tweet,tokens,sentiment
gustavokralj,5/3/2023,1:10:40,"for the north american synod report the synod on synodality is a generational project 
days after the publication of the final document for the north american phase of the 20212024 synod on synodality lead

newsdeskinbox usc","['north', 'american', 'synod', 'report', 'synod', 'synod', 'gener', 'project', 'day', 'public', 'final', 'document', 'north', 'american', 'phase', '20212024', 'synod', 'synod', 'lead', 'newsdeskinbox', 'usc']",NEGATIVE
InsideUSC,5/3/2023,1:01:01,usc playing long beach state at angel stadium tonight ,"['usc', 'play', 'long', 'beach', 'state', 'angel', 'stadium', 'tonight']",POSITIVE
jacki_essays,5/3/2023,0:41:13,"hmu for essaysassignments
 gramfam msu utrgv clemsonuniversity tsu wvu ssu jsu aamu pvamu txsu22 fvsu plnu usm tsu bsu nccu ksu umbc myasu nsu famu utsa msu twu usc uncg nyu flu gsu spelman osu auburnuniversity svsu

 ","['hmu', 'essaysassign', 'gramfam', 'msu', 'utrgv', 'clemsonunivers', 'tsu', 'wvu', 'ssu', 'jsu', 'aamu', 'pvamu', 'txsu22', 'fvsu', 'plnu', 'usm', 'tsu', 'bsu', 'nccu', 'ksu', 'umbc', 'myasu', 'nsu', 'famu', 'utsa', 'msu', 'twu', 'usc', 'uncg', 'nyu', 'flu', 'gsu', 'spelman', 'osu', 'auburnunivers', 'svsu']",NEGATIVE
hankwasiak,5/3/2023,0:20:23,"part 3 of sorority dinner had a great time

usc sorority frommadmantohappyfarmer ","['part', '3', 'soror', 'dinner', 'great', 'time', 'usc', 'soror', 'frommadmantohappyfarm']",POSITIVE
hankwasiak,5/3/2023,0:10:16,"part 2 of sorority dinner invite

usc sorority frommadmantohappyfarmer ","['part', '2', 'soror', 'dinner', 'invit', 'usc', 'soror', 'frommadmantohappyfarm']",POSITIVE
hankwasiak,5/3/2023,0:01:08,"invite to sorority dinner thank you to annie for asking me

usc sorority frommadmantohappyfarmer ","['invit', 'soror', 'dinner', 'thank', 'anni', 'ask', 'usc', 'soror', 'frommadmantohappyfarm']",POSITIVE
will_camardella,5/2/2023,23:56:06,my view from the legends suites at angel stadium where usc will battle long beach state in about an hour ,"['view', 'legend', 'suit', 'angel', 'stadium', 'usc', 'battl', 'long', 'beach', 'state', 'hour']",POSITIVE
InsideUSC,5/2/2023,23:49:48,it was a big deal when usc reclaimed the victory bell in 1952 ,"['big', 'deal', 'usc', 'reclaim', 'victori', 'bell', '1952']",POSITIVE
GGreensss,5/2/2023,23:00:51," why sc must go after keon coleman
 what makes  special
 mycah pittman usc smoke
usc fighton 

usc transfer portal roundup 4 keon coleman xavier jordan commits usc   via ","['sc', 'must', 'go', 'keon', 'coleman', 'make', 'special', 'mycah', 'pittman', 'usc', 'smoke', 'usc', 'fighton', 'usc', 'transfer', 'portal', 'roundup', '4', 'keon', 'coleman', 'xavier', 'jordan', 'commit', 'usc', 'via']",NEGATIVE
USC_Rivals,5/2/2023,22:57:55,"our jeff mcculloch  checked in with fourstar rivals100 priority usc fighton ol target deandre carter for the latest on his trojans recruitment 

","['jeff', 'mcculloch', 'check', 'fourstar', 'rivals100', 'prioriti', 'usc', 'fighton', 'ol', 'target', 'deandr', 'carter', 'latest', 'trojan', 'recruit']",POSITIVE
